"allGIDs"	"FC_1"	"FC_4"	"FC_8"	"FC_13"	"FC_18"	"FC_24"
"1"	"EGR3"	NA	NA	NA	NA	-0.103436326608062	2.18435452319682
"2"	"DUSP1"	1.94734211079776	NA	-3.99891684949398	NA	-2.13811618834734	-1.13113987445831
"3"	"CCL4"	-1.73702909611166	NA	2.56236701272428	NA	-1.40554798208177	2.53014164231718
"4"	"NR4A3"	0.0608023833483458	NA	-2.81623786874115	-3.56348252110183	-2.07577472366393	0.426695944741368
"5"	"JUN"	0.61330203153193	-2.85257372073829	-0.517784524708986	-0.530566431581974	NA	2.10118620842695
"6"	"PIM1"	-3.74245966412127	-0.422477703541517	-2.55106153339148	-2.38559824042022	NA	3.59544806927443
"7"	"MCL1"	NA	-3.54491410218179	NA	-1.61623128131032	NA	-3.10689045675099
"8"	"TP53"	NA	-3.07760541141033	NA	1.13041547127068	NA	-3.3534523434937
"9"	"FOSB"	NA	-0.406284365803003	NA	-0.828098380938172	NA	0.663044774904847
"10"	"EGR1"	NA	-3.2655861210078	NA	-1.01559811644256	NA	3.99028919823468
